identifier,y_sim,y_exp,smiles,fold
CHEMBL566151,-10.21852,0.28,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(F)cc2F)ccc1OCCN1CCCC1,3
CHEMBL569475,-9.88259,0.28,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1,1
CHEMBL371903,-10.51003,0.28,O=C1CCc2cccc(CCN3CCN(CC3)c3nsc4ccccc34)c2N1,4
CHEMBL198599,-12.04987,0.28,CC1CC(=O)Nc2c(CCN3CCN(CC3)c3noc4ccccc34)cc(C)cc12,3
CHEMBL3892440,-9.78125,0.28,CS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1,2
CHEMBL363829,-10.23854,0.28,CC1(C)CCNc2c(CCN3CCN(CC3)c3nsc4ccccc34)cc(F)cc12,1
CHEMBL1774086,-11.06658,0.28,Fc1ccc2cccc(N3CCN(CCCCOc4ccc5CCC(=O)Nc5n4)CC3)c2c1,0
CHEMBL69700,-6.76581,0.29,COc1cc(C[C@@H](C)N)c(OC)cc1Br,4
CHEMBL3967779,-10.30263,0.29,O=C(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)c1cccnc1,1
CHEMBL370659,-12.5131,0.29,CC1CCN(C(C)=O)c2c(CCN3CCN(CC3)c3noc4ccccc34)cc(F)cc12,2
CHEMBL3938210,-9.80145,0.29,O=C(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)c1ccc[nH]1,3
CHEMBL3966842,-9.52114,0.3,O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)c1cccs1,0
CHEMBL253024,-10.94725,0.3,O=C(NC1CCc2ccc(CCN3CCN(CC3)c3nsc4ccccc34)cc12)C1CC1,0
CHEMBL91197,-8.58896,0.3,CCN(C)CCc1c([nH]c2ccccc12)-c1ccccc1F,4
CHEMBL354005,-11.48314,0.3,Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3SCCN2c13,0
CHEMBL177401,-10.40664,0.3,Fc1cccc(c1)S(=O)(=O)C1(F)CCN(CCc2ccc(F)cc2F)CC1,0
CHEMBL369913,-11.03104,0.3,CC1CCN(C(C)=O)c2c(CCN3CCN(CC3)c3nsc4ccccc34)cccc12,4
CHEMBL292692,-8.26882,0.3,COc1cc(CCNCc2ccccc2)c(OC)cc1Br,4
CHEMBL3883955,-11.29241,0.3,Fc1ccc2c(noc2c1)C1CCN(CCCOc2ccc(=O)n(n2)-c2c(F)cccc2F)CC1,0
CHEMBL2387229,-10.67518,0.3,Cc1cc(=O)oc2c(Cl)c(OCCCCN3CCC(CC3)c3noc4cc(F)ccc34)ccc12,2
CHEMBL199182,-10.73927,0.31,CC1CCN(C(C)=O)c2c(CCN3CCN(CC3)c3nsc4ccccc34)cc(Cl)cc12,1
CHEMBL576055,-9.86307,0.31,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2cc(F)cc(F)c2)ccc1OCCN1CCOCC1,3
CHEMBL606191,-9.79785,0.3162,COc1ccc(NC(=O)Nc2ccc(cc2)C(F)(F)F)cc1-c1c(Br)cnn1C,0
CHEMBL596976,-9.61257,0.3162,COc1ccc(NC(=O)Nc2ccc(cc2)C(C)C)cc1-c1c(Br)cnn1C,0
